EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII
51,51,True,17,17,.\WIN98,SCANREG.EXE,.EXE,165502,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0442512,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9771791,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
52,52,True,17,17,.\WIN98,SETUP.EXE,.EXE,5712,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0542656,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9771903,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
53,53,True,17,17,.\WIN98,SETUP.TXT,.TXT,52294,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0542656,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772015,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
54,54,True,17,17,.\WIN98,SETUP0.WAV,.WAV,439824,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0542656,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772135,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
55,55,True,17,17,.\WIN98,SETUP1.WAV,.WAV,14924,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0642800,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772276,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
56,56,True,17,17,.\WIN98,SETUP2.WAV,.WAV,14992,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0642800,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772388,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
57,57,True,17,17,.\WIN98,SMARTDRV.EXE,.EXE,45379,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0642800,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772500,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
58,58,True,17,17,.\WIN98,SUBACK.BIN,.BIN,229680,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0642800,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772620,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
59,59,True,17,17,.\WIN98,SUCATREG.EXE,.EXE,77824,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0642800,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772732,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
60,60,True,17,17,.\WIN98,SUHELPER.BIN,.BIN,1472,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0642800,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9772844,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
